GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAttivitaTuristicaController,391,12,30,0,93,1,22,1,7,1
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAlloggioController,408,15,24,0,93,1,20,1,8,1
backend,it.greentrails.backend,BackendApplication,5,7,0,0,2,2,1,2,1,2
backend,it.greentrails.backend.gestionesegnalazioni.service,SegnalazioniServiceImpl,52,6,8,0,11,1,8,1,4,1
backend,it.greentrails.backend.gestioneutenze.controller,GestioneUtenzeController,127,9,6,0,34,1,7,1,4,1
backend,it.greentrails.backend.gestionericerca.controller,RicercaController,137,9,14,0,31,1,11,1,4,1
backend,it.greentrails.backend.gestioneattivita.controller,CameraController,125,9,8,0,33,1,8,1,4,1
backend,it.greentrails.backend.gestioneattivita.controller,ValoriEcosostenibilitaController,110,9,6,0,30,1,6,1,3,1
backend,it.greentrails.backend.gestioneattivita.controller,RecensioneController,127,18,8,0,34,1,8,1,4,1
backend,it.greentrails.backend.gestioneattivita.controller,CategoriaController,102,9,4,0,25,1,5,1,3,1
backend,it.greentrails.backend.gestioneattivita.controller,AttivitaController,353,15,32,0,96,1,25,1,9,1
backend,it.greentrails.backend.gestionesegnalazioni.controller,SegnalazioniController,123,15,12,0,32,1,10,1,4,1
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAttivitaTuristicaServiceImpl,171,30,26,4,40,6,22,4,9,2
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAlloggioServiceImpl,210,46,33,5,47,11,27,4,10,2
backend,it.greentrails.backend.gestioneupload.exceptions,ArchiviazioneException,9,0,0,0,4,0,2,0,2,0
backend,it.greentrails.backend.gestioneupload.exceptions,FileNonTrovatoException,9,0,0,0,4,0,2,0,2,0
backend,it.greentrails.backend.enums,PreferenzeBudget,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.enums,StatoSegnalazione,0,21,0,0,0,4,0,1,0,1
backend,it.greentrails.backend.enums,PreferenzeViaggio,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.enums,PreferenzeStagione,0,21,0,0,0,4,0,1,0,1
backend,it.greentrails.backend.enums,StatoPrenotazione,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.enums,PreferenzeAlloggio,0,33,0,0,0,6,0,1,0,1
backend,it.greentrails.backend.enums,PreferenzeAlimentari,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.enums,StatoPagamento,0,21,0,0,0,4,0,1,0,1
backend,it.greentrails.backend.enums,StatoItinerario,0,21,0,0,0,4,0,1,0,1
backend,it.greentrails.backend.enums,CategorieAttivitaTuristica,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.enums,RuoloUtente,0,21,0,0,0,4,0,1,0,1
backend,it.greentrails.backend.enums,PreferenzeAttivita,0,33,0,0,0,6,0,1,0,1
backend,it.greentrails.backend.enums,CategorieAlloggio,0,27,0,0,0,5,0,1,0,1
backend,it.greentrails.backend.utils,ArchiviazioneProperties,4,9,0,0,1,2,1,2,1,2
backend,it.greentrails.backend.utils,CorsConfig,0,33,0,0,0,9,0,2,0,2
backend,it.greentrails.backend.utils,DistanceCalculator,76,0,0,0,14,0,2,0,2,0
backend,it.greentrails.backend.gestioneitinerari.service,ItinerariServiceImpl,95,45,12,4,23,6,10,4,4,2
backend,it.greentrails.backend.gestionericerca.service,RicercaServiceImpl,94,6,14,0,19,1,13,1,6,1
backend,it.greentrails.backend.gestioneupload.service,ArchiviazioneFileSystemService,223,31,19,1,54,5,18,2,8,2
backend,it.greentrails.backend.gestioneupload.controller,GestioneUploadController,224,15,14,0,32,1,22,1,15,1
backend,it.greentrails.backend.entities,Categoria,13,11,0,0,3,2,4,3,4,3
backend,it.greentrails.backend.entities,Attivita,119,28,0,0,17,7,34,5,34,5
backend,it.greentrails.backend.entities,PrenotazioneAttivitaTuristica,70,9,0,0,11,3,20,1,20,1
backend,it.greentrails.backend.entities,Preferenze,70,9,0,0,11,3,20,1,20,1
backend,it.greentrails.backend.entities,Recensione,49,3,0,0,8,1,14,1,14,1
backend,it.greentrails.backend.entities,Itinerario,28,6,0,0,5,2,8,1,8,1
backend,it.greentrails.backend.entities,ValoriEcosostenibilita,49,3,0,0,8,1,14,1,14,1
backend,it.greentrails.backend.entities,Segnalazione,63,9,0,0,10,3,18,1,18,1
backend,it.greentrails.backend.entities,Utente,55,20,0,0,11,5,16,5,16,5
backend,it.greentrails.backend.entities,PrenotazioneAlloggio,77,9,0,0,12,3,22,1,22,1
backend,it.greentrails.backend.entities,Camera,42,10,0,0,6,3,12,3,12,3
backend,it.greentrails.backend.gestioneutenze.service,GestioneUtenzeServiceImpl,97,38,14,6,22,7,13,5,6,2
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariAiAdapter,10,3,0,0,3,1,1,1,1,1
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariStubAdapter,130,18,2,0,30,1,5,1,4,1
backend,it.greentrails.backend.gestioneutenze.security,SecurityConfig,0,486,0,0,0,63,0,5,0,5
backend,it.greentrails.backend.gestioneitinerari.controller,ItinerariController,120,15,4,0,30,1,6,1,4,1
backend,it.greentrails.backend.utils.service,ResponseGenerator,45,0,4,0,11,0,3,0,1,0
backend,it.greentrails.backend.gestioneattivita.service,CategoriaServiceImpl,50,19,8,2,11,4,6,3,2,2
backend,it.greentrails.backend.gestioneattivita.service,RecensioneServiceImpl,110,6,16,0,25,1,14,1,6,1
backend,it.greentrails.backend.gestioneattivita.service,AttivitaServiceImpl,118,6,16,0,26,1,17,1,9,1
backend,it.greentrails.backend.gestioneattivita.service,ValoriEcosostenibilitaServiceImpl,63,6,10,0,14,1,8,1,3,1
backend,it.greentrails.backend.gestioneattivita.service,CameraServiceImpl,63,46,11,5,14,11,9,5,3,3
