GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAttivitaTuristicaController,0,391,0,30,0,93,0,22,0,7
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAlloggioController,0,408,0,24,0,93,0,20,0,8
backend,it.greentrails.backend.gestioneitinerari.service,ItinerariServiceImpl,0,119,0,16,0,28,0,13,0,5
backend,it.greentrails.backend.gestionericerca.service,RicercaServiceImpl,22,58,2,12,4,11,2,9,1,3
backend,it.greentrails.backend.gestionesegnalazioni.service,SegnalazioniServiceImpl,0,52,0,8,0,11,0,8,0,4
backend,it.greentrails.backend.gestioneupload.service,ArchiviazioneFileSystemService,23,231,1,19,6,53,1,19,0,10
backend,it.greentrails.backend.gestioneupload.controller,GestioneUploadController,0,224,0,14,0,32,0,22,0,15
backend,it.greentrails.backend.gestioneutenze.controller,GestioneUtenzeController,6,121,0,6,2,32,0,7,0,4
backend,it.greentrails.backend.gestioneutenze.service,GestioneUtenzeServiceImpl,5,128,1,21,1,29,1,17,0,7
backend,it.greentrails.backend.gestionericerca.controller,RicercaController,12,125,1,13,4,27,1,10,0,4
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariAiAdapter,10,3,0,0,3,1,1,1,1,1
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariStubAdapter,4,136,2,4,2,32,2,5,0,4
backend,it.greentrails.backend.gestioneattivita.controller,CameraController,0,125,0,8,0,33,0,8,0,4
backend,it.greentrails.backend.gestioneattivita.controller,ValoriEcosostenibilitaController,0,110,0,6,0,30,0,6,0,3
backend,it.greentrails.backend.gestioneattivita.controller,RecensioneController,0,127,0,8,0,34,0,8,0,4
backend,it.greentrails.backend.gestioneattivita.controller,CategoriaController,0,102,0,4,0,25,0,5,0,3
backend,it.greentrails.backend.gestioneattivita.controller,AttivitaController,0,353,0,32,0,96,0,25,0,9
backend,it.greentrails.backend.gestioneutenze.security,SecurityConfig,0,610,0,0,0,76,0,7,0,7
backend,it.greentrails.backend.gestionesegnalazioni.controller,SegnalazioniController,0,123,1,11,0,32,1,9,0,4
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAttivitaTuristicaServiceImpl,5,182,1,29,1,41,1,23,0,9
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAlloggioServiceImpl,20,242,4,40,4,56,4,28,0,10
backend,it.greentrails.backend.gestioneitinerari.controller,ItinerariController,0,120,0,4,0,30,0,6,0,4
backend,it.greentrails.backend.utils.service,ResponseGenerator,0,45,0,4,0,11,0,3,0,1
backend,it.greentrails.backend.gestioneattivita.service,CategoriaServiceImpl,0,63,0,10,0,14,0,8,0,3
backend,it.greentrails.backend.gestioneattivita.service,RecensioneServiceImpl,0,91,0,14,0,20,0,12,0,5
backend,it.greentrails.backend.gestioneattivita.service,AttivitaServiceImpl,0,118,0,16,0,26,0,17,0,9
backend,it.greentrails.backend.gestioneattivita.service,ValoriEcosostenibilitaServiceImpl,0,63,0,10,0,14,0,8,0,3
backend,it.greentrails.backend.gestioneattivita.service,CameraServiceImpl,0,103,0,16,0,24,0,13,0,5
backend,it.greentrails.backend.utils,DataSeeder,1,1037,1,5,1,182,1,15,0,13
backend,it.greentrails.backend.utils,CorsConfig,0,33,0,0,0,9,0,2,0,2
backend,it.greentrails.backend.utils,DistanceCalculator,0,73,0,0,0,13,0,1,0,1
