GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAttivitaTuristicaController,0,403,0,30,0,94,0,23,0,8
backend,it.greentrails.backend.gestioneprenotazioni.controller,PrenotazioneAlloggioController,0,423,0,24,0,94,0,21,0,9
backend,it.greentrails.backend.gestioneitinerari.service,ItinerariServiceImpl,0,140,0,16,0,29,0,14,0,6
backend,it.greentrails.backend.gestionericerca.service,RicercaServiceImpl,0,100,0,14,0,20,0,14,0,7
backend,it.greentrails.backend.gestionesegnalazioni.service,SegnalazioniServiceImpl,0,58,0,8,0,12,0,9,0,5
backend,it.greentrails.backend.gestioneupload.service,ArchiviazioneFileSystemService,23,231,1,19,6,53,1,19,0,10
backend,it.greentrails.backend.gestioneupload.controller,GestioneUploadController,0,239,0,14,0,33,0,23,0,16
backend,it.greentrails.backend.gestioneutenze.controller,GestioneUtenzeController,6,130,0,6,2,33,0,8,0,5
backend,it.greentrails.backend.gestioneutenze.service,GestioneUtenzeServiceImpl,0,135,0,20,0,29,0,18,0,8
backend,it.greentrails.backend.gestionericerca.controller,RicercaController,12,134,1,13,4,28,1,11,0,5
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariAiAdapter,10,3,0,0,3,1,1,1,1,1
backend,it.greentrails.backend.gestioneitinerari.adapter,ItinerariStubAdapter,0,148,0,2,0,31,0,6,0,5
backend,it.greentrails.backend.gestioneattivita.controller,CameraController,0,134,0,8,0,34,0,9,0,5
backend,it.greentrails.backend.gestioneattivita.controller,ValoriEcosostenibilitaController,0,119,0,6,0,31,0,7,0,4
backend,it.greentrails.backend.gestioneattivita.controller,RecensioneController,0,145,0,8,0,35,0,9,0,5
backend,it.greentrails.backend.gestioneattivita.controller,CategoriaController,0,111,0,4,0,26,0,6,0,4
backend,it.greentrails.backend.gestioneattivita.controller,AttivitaController,0,368,0,32,0,97,0,26,0,10
backend,it.greentrails.backend.gestioneutenze.security,SecurityConfig,0,610,0,0,0,76,0,7,0,7
backend,it.greentrails.backend.gestionesegnalazioni.controller,SegnalazioniController,0,138,1,11,0,33,1,10,0,5
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAttivitaTuristicaServiceImpl,0,201,0,30,0,46,0,26,0,11
backend,it.greentrails.backend.gestioneprenotazioni.service,PrenotazioneAlloggioServiceImpl,0,256,0,38,0,58,0,31,0,12
backend,it.greentrails.backend.gestioneitinerari.controller,ItinerariController,0,135,0,4,0,31,0,7,0,5
backend,it.greentrails.backend.utils.service,ResponseGenerator,0,45,0,4,0,11,0,3,0,1
backend,it.greentrails.backend.gestioneattivita.service,CategoriaServiceImpl,0,69,0,10,0,15,0,9,0,4
backend,it.greentrails.backend.gestioneattivita.service,RecensioneServiceImpl,0,116,0,16,0,26,0,15,0,7
backend,it.greentrails.backend.gestioneattivita.service,AttivitaServiceImpl,0,124,0,16,0,27,0,18,0,10
backend,it.greentrails.backend.gestioneattivita.service,ValoriEcosostenibilitaServiceImpl,0,69,0,10,0,15,0,9,0,4
backend,it.greentrails.backend.gestioneattivita.service,CameraServiceImpl,0,109,0,16,0,25,0,14,0,6
backend,it.greentrails.backend.utils,CorsConfig,0,33,0,0,0,9,0,2,0,2
backend,it.greentrails.backend.utils,DistanceCalculator,0,73,0,0,0,13,0,1,0,1
